Region code;Region name
ni;Niedersachsen
bb;Brandenburg
be;Berlin
bw;Baden-Württemberg
by;Bayern
hb;Bremen
he;Hessen
hh;Hamburg
mv;Mecklenburg-Vorpommern
nw;Nordrhein-Westfalen
rp;Rheinland-Pfalz
sh;Schleswig-Holstein
sl;Saarland
sn;Sachsen
st;Sachsen-Anhalt
th;Thüringen
