Region code;Region name
dr;Drenthe
fl;Flevoland
fr;Friesland
gd;Gelderland
gr;Groningen
lb;Limburg
nb;Noord-Brabant
nh;Noord-Holland
ov;Overijssel
ut;Utrecht
zh;Zuid-Holland
zl;Zeeland
