Region code;Region name
BL;Bratislavský kraj
TA;Trnavský kraj
NI;Nitriansky kraj
TC;Trenčiansky kraj
BC;Banskobystrický kraj
ZI;Žilinský kraj
KI;Košický kraj
PV;Prešovský kraj
