Region code;Region name
abr;Abruzzo;
bas;Basilicata
cal;Calabria
cam;Campania
emr;Emilia Romagna
fvg;Friuli Venezia Giulia
laz;Lazio
lig;Liguria
lom;Lombardia
mar;Marche
mol;Molise
pie;Piemonte
pug;Puglia
sar;Sardegna
sic;Sicilia
tos;Toscana
taa;Trentino-Alto Adige
umb;Umbria
vaa;Valle d'Aosta
ven;Veneto
