Region code;Region name
ant;Antwerpen
hai;Henegouwen
lim;Limburg
lie;Luik (Liège)
lux;Luxemburg
nam;Namen
ovl;Oost-Vlaanderen
vbr;Vlaams-Brabant
wbr;Waals-Brabant
wvl;West-Vlaanderen
